order_id,timestamp,restaurant_id,customer_id,order_type,items,total_amount,payment_method,order_status,created_at
ORD-20251021-220029,2025-10-21T10:15:24.695381,REST-AUH-002,CUST-10444,takeaway,"[{""item_id"": ""ITEM-204"", ""name"": ""Malai Kofta"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 43.54, ""subtotal"": 130.62}, {""item_id"": ""ITEM-604"", ""name"": ""Fresh Lime Soda"", ""category"": ""Beverage"", ""quantity"": 2, ""unit_price"": 12.35, ""subtotal"": 24.7}, {""item_id"": ""ITEM-305"", ""name"": ""Chicken Biryani"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 50.05, ""subtotal"": 150.15}, {""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 9.19, ""subtotal"": 27.57}]",333.04,wallet,delivered,2025-10-21T10:15:24.695381
ORD-20251021-903882,2025-10-21T10:16:01.695381,REST-AUH-002,CUST-10097,delivery,"[{""item_id"": ""ITEM-604"", ""name"": ""Fresh Lime Soda"", ""category"": ""Beverage"", ""quantity"": 2, ""unit_price"": 12.35, ""subtotal"": 24.7}]",24.7,cash,completed,2025-10-21T10:16:01.695381
ORD-20251021-682174,2025-10-21T10:27:54.695381,REST-AUH-002,CUST-10410,delivery,"[{""item_id"": ""ITEM-304"", ""name"": ""Fish Curry"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 57.53, ""subtotal"": 172.59}, {""item_id"": ""ITEM-102"", ""name"": ""Paneer Tikka"", ""category"": ""Starter"", ""quantity"": 1, ""unit_price"": 36.1, ""subtotal"": 36.1}, {""item_id"": ""ITEM-402"", ""name"": ""Garlic Naan"", ""category"": ""Bread"", ""quantity"": 1, ""unit_price"": 10.36, ""subtotal"": 10.36}]",219.05,card,completed,2025-10-21T10:27:54.695381
ORD-20251021-523645,2025-10-21T10:36:16.695381,REST-DXB-001,CUST-10222,dine_in,"[{""item_id"": ""ITEM-401"", ""name"": ""Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 8.29, ""subtotal"": 24.87}, {""item_id"": ""ITEM-202"", ""name"": ""Dal Makhani"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 36.17, ""subtotal"": 72.34}, {""item_id"": ""ITEM-503"", ""name"": ""Kulfi"", ""category"": ""Dessert"", ""quantity"": 3, ""unit_price"": 20.51, ""subtotal"": 61.53}]",158.74,wallet,delivered,2025-10-21T10:36:16.695381
ORD-20251021-390514,2025-10-21T11:12:34.695381,REST-AUH-002,CUST-10361,dine_in,"[{""item_id"": ""ITEM-403"", ""name"": ""Butter Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 9.19, ""subtotal"": 27.57}]",27.57,cash,delivered,2025-10-21T11:12:34.695381
ORD-20251021-225203,2025-10-21T11:23:43.695381,REST-DXB-001,CUST-10305,dine_in,"[{""item_id"": ""ITEM-104"", ""name"": ""Aloo Tikki Chaat"", ""category"": ""Starter"", ""quantity"": 1, ""unit_price"": 20.96, ""subtotal"": 20.96}, {""item_id"": ""ITEM-105"", ""name"": ""Chicken Seekh Kebab"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 40.19, ""subtotal"": 120.57}, {""item_id"": ""ITEM-402"", ""name"": ""Garlic Naan"", ""category"": ""Bread"", ""quantity"": 3, ""unit_price"": 10.21, ""subtotal"": 30.63}, {""item_id"": ""ITEM-304"", ""name"": ""Fish Curry"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 57.11, ""subtotal"": 171.33}, {""item_id"": ""ITEM-305"", ""name"": ""Chicken Biryani"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 46.65, ""subtotal"": 139.95}]",483.44,cash,completed,2025-10-21T11:23:43.695381
ORD-20251021-871109,2025-10-21T12:31:28.695381,REST-AUH-002,CUST-10082,takeaway,"[{""item_id"": ""ITEM-501"", ""name"": ""Gulab Jamun (2 pcs)"", ""category"": ""Dessert"", ""quantity"": 3, ""unit_price"": 15.74, ""subtotal"": 47.22}, {""item_id"": ""ITEM-203"", ""name"": ""Palak Paneer"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 43.94, ""subtotal"": 43.94}, {""item_id"": ""ITEM-104"", ""name"": ""Aloo Tikki Chaat"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 21.52, ""subtotal"": 43.04}, {""item_id"": ""ITEM-305"", ""name"": ""Chicken Biryani"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 50.05, ""subtotal"": 50.05}, {""item_id"": ""ITEM-406"", ""name"": ""Vegetable Biryani"", ""category"": ""Rice"", ""quantity"": 3, ""unit_price"": 43.58, ""subtotal"": 130.74}]",314.99,cash,completed,2025-10-21T12:31:28.695381
ORD-20251021-430554,2025-10-21T12:50:45.695381,REST-DXB-002,CUST-10093,delivery,"[{""item_id"": ""ITEM-301"", ""name"": ""Butter Chicken"", ""category"": ""Main Course"", ""quantity"": 1, ""unit_price"": 51.7, ""subtotal"": 51.7}, {""item_id"": ""ITEM-105"", ""name"": ""Chicken Seekh Kebab"", ""category"": ""Starter"", ""quantity"": 3, ""unit_price"": 42.61, ""subtotal"": 127.83}]",179.53,cash,delivered,2025-10-21T12:50:45.695381
ORD-20251021-431975,2025-10-21T12:57:07.695381,REST-DXB-001,CUST-10048,dine_in,"[{""item_id"": ""ITEM-101"", ""name"": ""Samosa (2 pcs)"", ""category"": ""Starter"", ""quantity"": 1, ""unit_price"": 17.4, ""subtotal"": 17.4}, {""item_id"": ""ITEM-104"", ""name"": ""Aloo Tikki Chaat"", ""category"": ""Starter"", ""quantity"": 2, ""unit_price"": 20.96, ""subtotal"": 41.92}, {""item_id"": ""ITEM-202"", ""name"": ""Dal Makhani"", ""category"": ""Main Course"", ""quantity"": 2, ""unit_price"": 36.17, ""subtotal"": 72.34}, {""item_id"": ""ITEM-504"", ""name"": ""Gajar Halwa"", ""category"": ""Dessert"", ""quantity"": 2, ""unit_price"": 22.66, ""subtotal"": 45.32}]",176.98,wallet,delivered,2025-10-21T12:57:07.695381
ORD-20251021-675482,2025-10-21T13:02:10.695381,REST-AUH-001,CUST-10373,dine_in,"[{""item_id"": ""ITEM-304"", ""name"": ""Fish Curry"", ""category"": ""Main Course"", ""quantity"": 3, ""unit_price"": 52.81, ""subtotal"": 158.43}, {""item_id"": ""ITEM-604"", ""name"": ""Fresh Lime Soda"", ""category"": ""Beverage"", ""quantity"": 3, ""unit_price"": 11.43, ""subtotal"": 34.29}]",192.72,card,delivered,2025-10-21T13:02:10.695381
